"","respondent","selected","distance","community","affordable","height","site","units","tenant","own","city_interest","prop_i_ban_dummy","supply_dummy"
"1","R_3IbILL3uQjhGMfK",0,"1/2 mile (10 minute walk)","Oppose the building","Half of the units","3 stories","Historically-designated building","24 units","Rent",0,NA,1,NA
"2","R_3IbILL3uQjhGMfK",1,"1/2 mile (10 minute walk)","Oppose the building","Half of the units","6 stories","Empty building","24 units","Rent",0,NA,1,NA
"3","R_3IbILL3uQjhGMfK",1,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","12 stories","Empty building","12 units","Own",0,NA,1,NA
"4","R_3IbILL3uQjhGMfK",0,"1 mile (20 minute walk)","No opinion","All of the units","2 stories","Historically-designated building","12 units","Rent",0,NA,1,NA
"5","R_3IbILL3uQjhGMfK",1,"1/2 mile (10 minute walk)","Oppose the building","One-quarter of the units","2 stories","Empty building","12 units","Own",0,NA,1,NA
"6","R_3IbILL3uQjhGMfK",0,"2 miles (40 minute walk)","Support the building","Half of the units","2 stories","Open field","96 units","Own",0,NA,1,NA
"7","R_3IbILL3uQjhGMfK",0,"2 miles (40 minute walk)","Support the building","None of the units","3 stories","Parking lot","12 units","Rent",0,NA,1,NA
"8","R_3IbILL3uQjhGMfK",1,"1/8 mile (2 minute walk)","No opinion","None of the units","12 stories","Open field","96 units","Rent",0,NA,1,NA
"9","R_ZBK1f44oqwAaYJb",0,"1/8 mile (2 minute walk)","Oppose the building","None of the units","12 stories","Historically-designated building","48 units","Own",1,-0.15,NA,1
"10","R_ZBK1f44oqwAaYJb",0,"2 miles (40 minute walk)","Oppose the building","None of the units","3 stories","Parking lot","96 units","Rent",1,-0.15,NA,1
"11","R_ZBK1f44oqwAaYJb",1,"1/2 mile (10 minute walk)","Support the building","One-quarter of the units","6 stories","Parking lot","48 units","Own",1,-0.15,NA,1
"12","R_ZBK1f44oqwAaYJb",1,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","12 stories","Parking lot","12 units","Own",1,-0.15,NA,1
"13","R_3CPovIv2Ub28UnM",0,"1/8 mile (2 minute walk)","Support the building","One-quarter of the units","3 stories","Open field","48 units","Own",0,-0.15,0,0
"14","R_3CPovIv2Ub28UnM",1,"1/8 mile (2 minute walk)","Support the building","None of the units","12 stories","Empty building","24 units","Rent",0,-0.15,0,0
"15","R_3CPovIv2Ub28UnM",1,"2 miles (40 minute walk)","Support the building","All of the units","6 stories","Parking lot","48 units","Rent",0,-0.15,0,0
"16","R_3CPovIv2Ub28UnM",0,"1/8 mile (2 minute walk)","Oppose the building","One-quarter of the units","2 stories","Open field","12 units","Rent",0,-0.15,0,0
"17","R_3CPovIv2Ub28UnM",1,"2 miles (40 minute walk)","No opinion","One-quarter of the units","3 stories","Open field","12 units","Rent",0,-0.15,0,0
"18","R_3CPovIv2Ub28UnM",0,"1 mile (20 minute walk)","Oppose the building","None of the units","12 stories","Historically-designated building","12 units","Own",0,-0.15,0,0
"19","R_3CPovIv2Ub28UnM",1,"1/2 mile (10 minute walk)","Support the building","None of the units","6 stories","Parking lot","24 units","Own",0,-0.15,0,0
"20","R_3CPovIv2Ub28UnM",0,"1 mile (20 minute walk)","Oppose the building","All of the units","3 stories","Open field","48 units","Own",0,-0.15,0,0
"21","R_3CPovIv2Ub28UnM",1,"1 mile (20 minute walk)","Oppose the building","Half of the units","6 stories","Parking lot","96 units","Own",0,-0.15,0,0
"22","R_3CPovIv2Ub28UnM",0,"2 miles (40 minute walk)","No opinion","None of the units","2 stories","Historically-designated building","12 units","Own",0,-0.15,0,0
"23","R_2dFmL594d8sOYVd",0,"1/8 mile (2 minute walk)","No opinion","One-quarter of the units","3 stories","Historically-designated building","12 units","Rent",0,-0.15,1,0
"24","R_2dFmL594d8sOYVd",0,"1 mile (20 minute walk)","Oppose the building","None of the units","3 stories","Open field","48 units","Rent",0,-0.15,1,0
"25","R_2dFmL594d8sOYVd",1,"1/8 mile (2 minute walk)","No opinion","One-quarter of the units","12 stories","Parking lot","96 units","Rent",0,-0.15,1,0
"26","R_2dFmL594d8sOYVd",0,"1 mile (20 minute walk)","No opinion","None of the units","6 stories","Open field","24 units","Own",0,-0.15,1,0
"27","R_2dFmL594d8sOYVd",1,"1/2 mile (10 minute walk)","Oppose the building","Half of the units","2 stories","Parking lot","24 units","Own",0,-0.15,1,0
"28","R_2dFmL594d8sOYVd",0,"2 miles (40 minute walk)","No opinion","None of the units","6 stories","Empty building","12 units","Rent",0,-0.15,1,0
"29","R_2dFmL594d8sOYVd",1,"2 miles (40 minute walk)","Support the building","All of the units","3 stories","Empty building","48 units","Rent",0,-0.15,1,0
"30","R_2dFmL594d8sOYVd",0,"2 miles (40 minute walk)","Support the building","Half of the units","6 stories","Parking lot","12 units","Rent",0,-0.15,1,0
"31","R_2dFmL594d8sOYVd",1,"1/8 mile (2 minute walk)","No opinion","Half of the units","6 stories","Empty building","48 units","Rent",0,-0.15,1,0
"32","R_2dFmL594d8sOYVd",1,"1 mile (20 minute walk)","Oppose the building","All of the units","6 stories","Empty building","96 units","Rent",0,-0.15,1,0
"33","R_3FKiFucAE5tTEkW",0,"1 mile (20 minute walk)","No opinion","One-quarter of the units","12 stories","Open field","24 units","Rent",0,-0.05,NA,NA
"34","R_3FKiFucAE5tTEkW",0,"1/8 mile (2 minute walk)","Oppose the building","None of the units","3 stories","Open field","96 units","Rent",0,-0.05,NA,NA
"35","R_3FKiFucAE5tTEkW",1,"1/8 mile (2 minute walk)","Support the building","None of the units","3 stories","Parking lot","12 units","Rent",0,-0.05,NA,NA
"36","R_3FKiFucAE5tTEkW",1,"2 miles (40 minute walk)","Support the building","Half of the units","6 stories","Open field","12 units","Own",0,-0.05,NA,NA
"37","R_3FKiFucAE5tTEkW",0,"2 miles (40 minute walk)","No opinion","All of the units","2 stories","Historically-designated building","48 units","Own",0,-0.05,NA,NA
"38","R_3FKiFucAE5tTEkW",1,"1/2 mile (10 minute walk)","Support the building","Half of the units","2 stories","Empty building","96 units","Own",0,-0.05,NA,NA
"39","R_3FKiFucAE5tTEkW",0,"1 mile (20 minute walk)","Support the building","Half of the units","3 stories","Parking lot","24 units","Rent",0,-0.05,NA,NA
"40","R_3FKiFucAE5tTEkW",1,"1 mile (20 minute walk)","No opinion","All of the units","12 stories","Parking lot","96 units","Rent",0,-0.05,NA,NA
"41","R_3FKiFucAE5tTEkW",1,"2 miles (40 minute walk)","Support the building","All of the units","2 stories","Open field","96 units","Rent",0,-0.05,NA,NA
"42","R_3FKiFucAE5tTEkW",0,"2 miles (40 minute walk)","Oppose the building","All of the units","6 stories","Empty building","96 units","Rent",0,-0.05,NA,NA
"43","R_3ikGjZAJtpVhkS5",1,"1/8 mile (2 minute walk)","Support the building","Half of the units","12 stories","Parking lot","24 units","Rent",0,0.15,1,0
"44","R_3ikGjZAJtpVhkS5",1,"1/8 mile (2 minute walk)","Oppose the building","One-quarter of the units","2 stories","Parking lot","96 units","Rent",0,0.15,1,0
"45","R_3ikGjZAJtpVhkS5",0,"1/8 mile (2 minute walk)","Support the building","None of the units","12 stories","Historically-designated building","48 units","Own",0,0.15,1,0
"46","R_3ikGjZAJtpVhkS5",1,"2 miles (40 minute walk)","Support the building","Half of the units","6 stories","Historically-designated building","48 units","Own",0,0.15,1,0
"47","R_3ikGjZAJtpVhkS5",0,"2 miles (40 minute walk)","Support the building","Half of the units","2 stories","Empty building","48 units","Own",0,0.15,1,0
"48","R_3ikGjZAJtpVhkS5",0,"1/8 mile (2 minute walk)","Oppose the building","One-quarter of the units","12 stories","Open field","12 units","Own",0,0.15,1,0
"49","R_3ikGjZAJtpVhkS5",1,"2 miles (40 minute walk)","Support the building","One-quarter of the units","6 stories","Open field","24 units","Own",0,0.15,1,0
"50","R_3ikGjZAJtpVhkS5",1,"2 miles (40 minute walk)","Support the building","None of the units","3 stories","Empty building","12 units","Rent",0,0.15,1,0
"51","R_3ikGjZAJtpVhkS5",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","6 stories","Historically-designated building","24 units","Own",0,0.15,1,0
"52","R_3ikGjZAJtpVhkS5",0,"1/8 mile (2 minute walk)","No opinion","None of the units","12 stories","Empty building","48 units","Rent",0,0.15,1,0
"53","R_3EX7pVs7XT2hRdE",1,"1/2 mile (10 minute walk)","Support the building","Half of the units","3 stories","Empty building","12 units","Own",1,0.05,0,0
"54","R_3EX7pVs7XT2hRdE",1,"1/2 mile (10 minute walk)","Oppose the building","One-quarter of the units","3 stories","Parking lot","24 units","Own",1,0.05,0,0
"55","R_3EX7pVs7XT2hRdE",0,"1 mile (20 minute walk)","Oppose the building","Half of the units","3 stories","Open field","24 units","Rent",1,0.05,0,0
"56","R_3EX7pVs7XT2hRdE",0,"1/2 mile (10 minute walk)","No opinion","None of the units","3 stories","Empty building","12 units","Rent",1,0.05,0,0
"57","R_3EX7pVs7XT2hRdE",1,"1/8 mile (2 minute walk)","Support the building","Half of the units","2 stories","Empty building","24 units","Own",1,0.05,0,0
"58","R_3EX7pVs7XT2hRdE",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","12 stories","Parking lot","24 units","Own",1,0.05,0,0
"59","R_3EX7pVs7XT2hRdE",1,"2 miles (40 minute walk)","Oppose the building","None of the units","2 stories","Empty building","48 units","Rent",1,0.05,0,0
"60","R_3EX7pVs7XT2hRdE",0,"2 miles (40 minute walk)","No opinion","All of the units","12 stories","Open field","48 units","Rent",1,0.05,0,0
"61","R_3EX7pVs7XT2hRdE",1,"1/8 mile (2 minute walk)","Oppose the building","One-quarter of the units","6 stories","Empty building","24 units","Own",1,0.05,0,0
"62","R_3EX7pVs7XT2hRdE",0,"1/8 mile (2 minute walk)","Oppose the building","All of the units","3 stories","Parking lot","96 units","Rent",1,0.05,0,0
"63","R_2BsTkfvfWDNDoeI",1,"1 mile (20 minute walk)","Support the building","One-quarter of the units","6 stories","Empty building","96 units","Own",0,0.05,NA,0
"64","R_2BsTkfvfWDNDoeI",0,"1/8 mile (2 minute walk)","No opinion","One-quarter of the units","2 stories","Open field","12 units","Own",0,0.05,NA,0
"65","R_2BsTkfvfWDNDoeI",0,"1/8 mile (2 minute walk)","Support the building","Half of the units","2 stories","Historically-designated building","24 units","Own",0,0.05,NA,0
"66","R_2BsTkfvfWDNDoeI",1,"1/8 mile (2 minute walk)","No opinion","All of the units","6 stories","Empty building","24 units","Own",0,0.05,NA,0
"67","R_2BsTkfvfWDNDoeI",1,"1 mile (20 minute walk)","Oppose the building","All of the units","6 stories","Historically-designated building","96 units","Own",0,0.05,NA,0
"68","R_2BsTkfvfWDNDoeI",0,"1 mile (20 minute walk)","Oppose the building","One-quarter of the units","12 stories","Empty building","48 units","Own",0,0.05,NA,0
"69","R_2BsTkfvfWDNDoeI",1,"1 mile (20 minute walk)","Oppose the building","One-quarter of the units","2 stories","Parking lot","12 units","Rent",0,0.05,NA,0
"70","R_2BsTkfvfWDNDoeI",0,"2 miles (40 minute walk)","Support the building","All of the units","12 stories","Empty building","48 units","Rent",0,0.05,NA,0
"71","R_2BsTkfvfWDNDoeI",1,"1/2 mile (10 minute walk)","Support the building","One-quarter of the units","2 stories","Open field","48 units","Rent",0,0.05,NA,0
"72","R_2BsTkfvfWDNDoeI",0,"1/2 mile (10 minute walk)","No opinion","None of the units","2 stories","Open field","96 units","Own",0,0.05,NA,0
"73","R_XM3SHSGaJkespSp",0,"1/8 mile (2 minute walk)","Support the building","One-quarter of the units","2 stories","Historically-designated building","24 units","Own",0,-0.15,NA,1
"74","R_XM3SHSGaJkespSp",0,"1 mile (20 minute walk)","Oppose the building","None of the units","2 stories","Open field","96 units","Rent",0,-0.15,NA,1
"75","R_XM3SHSGaJkespSp",1,"1 mile (20 minute walk)","Support the building","One-quarter of the units","2 stories","Empty building","12 units","Own",0,-0.15,NA,1
"76","R_XM3SHSGaJkespSp",1,"1/2 mile (10 minute walk)","Oppose the building","Half of the units","12 stories","Open field","24 units","Own",0,-0.15,NA,1
"77","R_XM3SHSGaJkespSp",0,"1/2 mile (10 minute walk)","Support the building","Half of the units","3 stories","Historically-designated building","12 units","Own",0,-0.15,NA,1
"78","R_XM3SHSGaJkespSp",1,"1 mile (20 minute walk)","No opinion","All of the units","12 stories","Open field","24 units","Rent",0,-0.15,NA,1
"79","R_XM3SHSGaJkespSp",0,"1 mile (20 minute walk)","Oppose the building","All of the units","12 stories","Historically-designated building","12 units","Own",0,-0.15,NA,1
"80","R_XM3SHSGaJkespSp",1,"1/8 mile (2 minute walk)","Support the building","All of the units","6 stories","Parking lot","96 units","Own",0,-0.15,NA,1
"81","R_XM3SHSGaJkespSp",0,"1/2 mile (10 minute walk)","Support the building","None of the units","6 stories","Open field","48 units","Rent",0,-0.15,NA,1
"82","R_XM3SHSGaJkespSp",1,"2 miles (40 minute walk)","Oppose the building","All of the units","6 stories","Empty building","24 units","Rent",0,-0.15,NA,1
"83","R_3m9N5xoHBbN4Xyd",1,"1/8 mile (2 minute walk)","No opinion","All of the units","2 stories","Historically-designated building","96 units","Own",0,-0.15,0,1
"84","R_3m9N5xoHBbN4Xyd",1,"1/8 mile (2 minute walk)","Support the building","All of the units","6 stories","Parking lot","48 units","Own",0,-0.15,0,1
"85","R_3m9N5xoHBbN4Xyd",0,"1/8 mile (2 minute walk)","Support the building","None of the units","3 stories","Open field","24 units","Own",0,-0.15,0,1
"86","R_3m9N5xoHBbN4Xyd",0,"2 miles (40 minute walk)","Support the building","One-quarter of the units","6 stories","Historically-designated building","12 units","Rent",0,-0.15,0,1
"87","R_3m9N5xoHBbN4Xyd",1,"1 mile (20 minute walk)","Support the building","One-quarter of the units","3 stories","Empty building","12 units","Own",0,-0.15,0,1
"88","R_3m9N5xoHBbN4Xyd",0,"1 mile (20 minute walk)","Oppose the building","All of the units","6 stories","Open field","24 units","Own",0,-0.15,0,1
"89","R_3m9N5xoHBbN4Xyd",1,"2 miles (40 minute walk)","Oppose the building","All of the units","12 stories","Historically-designated building","48 units","Rent",0,-0.15,0,1
"90","R_3m9N5xoHBbN4Xyd",1,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","12 stories","Parking lot","48 units","Own",0,-0.15,0,1
"91","R_3m9N5xoHBbN4Xyd",0,"1 mile (20 minute walk)","Oppose the building","One-quarter of the units","2 stories","Historically-designated building","48 units","Own",0,-0.15,0,1
"92","R_3m9N5xoHBbN4Xyd",0,"1/8 mile (2 minute walk)","Support the building","None of the units","3 stories","Empty building","48 units","Rent",0,-0.15,0,1
"93","R_217LxONNV3GizBM",0,"2 miles (40 minute walk)","Support the building","One-quarter of the units","2 stories","Parking lot","12 units","Own",1,0.1,0,1
"94","R_217LxONNV3GizBM",1,"2 miles (40 minute walk)","Support the building","All of the units","3 stories","Parking lot","48 units","Own",1,0.1,0,1
"95","R_217LxONNV3GizBM",1,"1 mile (20 minute walk)","No opinion","Half of the units","2 stories","Open field","12 units","Rent",1,0.1,0,1
"96","R_217LxONNV3GizBM",1,"2 miles (40 minute walk)","Support the building","None of the units","2 stories","Empty building","24 units","Own",1,0.1,0,1
"97","R_217LxONNV3GizBM",0,"1 mile (20 minute walk)","No opinion","All of the units","6 stories","Parking lot","96 units","Rent",1,0.1,0,1
"98","R_217LxONNV3GizBM",1,"1/2 mile (10 minute walk)","Support the building","All of the units","12 stories","Parking lot","96 units","Rent",1,0.1,0,1
"99","R_217LxONNV3GizBM",0,"1/2 mile (10 minute walk)","No opinion","None of the units","6 stories","Historically-designated building","96 units","Rent",1,0.1,0,1
"100","R_217LxONNV3GizBM",0,"1/8 mile (2 minute walk)","No opinion","None of the units","12 stories","Historically-designated building","96 units","Rent",1,0.1,0,1
"101","R_217LxONNV3GizBM",1,"1/8 mile (2 minute walk)","Support the building","All of the units","6 stories","Empty building","12 units","Rent",1,0.1,0,1
"102","R_217LxONNV3GizBM",0,"1/2 mile (10 minute walk)","Oppose the building","All of the units","6 stories","Parking lot","24 units","Rent",1,0.1,0,1
"103","R_b1NyApQjUKxD7rj",0,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","2 stories","Parking lot","96 units","Own",0,-0.05,1,1
"104","R_b1NyApQjUKxD7rj",1,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","6 stories","Open field","48 units","Own",0,-0.05,1,1
"105","R_b1NyApQjUKxD7rj",1,"1/2 mile (10 minute walk)","Support the building","All of the units","12 stories","Empty building","48 units","Rent",0,-0.05,1,1
"106","R_b1NyApQjUKxD7rj",0,"1/2 mile (10 minute walk)","Oppose the building","All of the units","3 stories","Parking lot","96 units","Rent",0,-0.05,1,1
"107","R_b1NyApQjUKxD7rj",1,"1/8 mile (2 minute walk)","No opinion","All of the units","3 stories","Empty building","12 units","Own",0,-0.05,1,1
"108","R_b1NyApQjUKxD7rj",0,"1 mile (20 minute walk)","No opinion","None of the units","3 stories","Open field","96 units","Own",0,-0.05,1,1
"109","R_b1NyApQjUKxD7rj",0,"1/8 mile (2 minute walk)","Oppose the building","None of the units","3 stories","Historically-designated building","12 units","Rent",0,-0.05,1,1
"110","R_b1NyApQjUKxD7rj",1,"1 mile (20 minute walk)","Support the building","Half of the units","12 stories","Open field","24 units","Own",0,-0.05,1,1
"111","R_b1NyApQjUKxD7rj",1,"2 miles (40 minute walk)","No opinion","None of the units","12 stories","Parking lot","48 units","Own",0,-0.05,1,1
"112","R_b1NyApQjUKxD7rj",0,"1/8 mile (2 minute walk)","No opinion","None of the units","12 stories","Open field","24 units","Rent",0,-0.05,1,1
"113","R_2rZuCjqUIoCWoMu",1,"1/2 mile (10 minute walk)","Support the building","All of the units","3 stories","Historically-designated building","96 units","Rent",0,-0.15,0,1
"114","R_2rZuCjqUIoCWoMu",0,"1 mile (20 minute walk)","No opinion","None of the units","3 stories","Parking lot","12 units","Rent",0,-0.15,0,1
"115","R_2rZuCjqUIoCWoMu",1,"1/8 mile (2 minute walk)","Support the building","None of the units","3 stories","Open field","48 units","Rent",0,-0.15,0,1
"116","R_2rZuCjqUIoCWoMu",0,"1 mile (20 minute walk)","Oppose the building","None of the units","6 stories","Historically-designated building","24 units","Rent",0,-0.15,0,1
"117","R_2rZuCjqUIoCWoMu",1,"1 mile (20 minute walk)","Support the building","Half of the units","3 stories","Historically-designated building","12 units","Rent",0,-0.15,0,1
"118","R_2rZuCjqUIoCWoMu",0,"1/2 mile (10 minute walk)","Oppose the building","One-quarter of the units","6 stories","Open field","96 units","Own",0,-0.15,0,1
"119","R_2rZuCjqUIoCWoMu",0,"2 miles (40 minute walk)","Oppose the building","All of the units","6 stories","Historically-designated building","48 units","Rent",0,-0.15,0,1
"120","R_2rZuCjqUIoCWoMu",0,"1 mile (20 minute walk)","Support the building","One-quarter of the units","2 stories","Open field","12 units","Rent",0,-0.15,0,1
"121","R_2rZuCjqUIoCWoMu",1,"1/2 mile (10 minute walk)","Support the building","Half of the units","3 stories","Historically-designated building","12 units","Rent",0,-0.15,0,1
"122","R_2rZuCjqUIoCWoMu",1,"2 miles (40 minute walk)","Support the building","All of the units","6 stories","Open field","48 units","Own",0,-0.15,0,1
"123","R_3q82qVxDplDNidE",0,"1 mile (20 minute walk)","Support the building","None of the units","2 stories","Parking lot","48 units","Rent",0,-0.15,1,0
"124","R_3q82qVxDplDNidE",1,"2 miles (40 minute walk)","No opinion","None of the units","6 stories","Historically-designated building","96 units","Rent",0,-0.15,1,0
"125","R_3q82qVxDplDNidE",1,"1/8 mile (2 minute walk)","No opinion","All of the units","6 stories","Parking lot","12 units","Own",0,-0.15,1,0
"126","R_3q82qVxDplDNidE",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","12 stories","Open field","24 units","Own",0,-0.15,1,0
"127","R_3q82qVxDplDNidE",1,"1/8 mile (2 minute walk)","No opinion","Half of the units","2 stories","Parking lot","48 units","Own",0,-0.15,1,0
"128","R_3q82qVxDplDNidE",0,"1/8 mile (2 minute walk)","Support the building","All of the units","6 stories","Historically-designated building","96 units","Own",0,-0.15,1,0
"129","R_3q82qVxDplDNidE",1,"2 miles (40 minute walk)","Support the building","All of the units","12 stories","Open field","24 units","Rent",0,-0.15,1,0
"130","R_3q82qVxDplDNidE",1,"1/8 mile (2 minute walk)","Support the building","None of the units","3 stories","Empty building","24 units","Rent",0,-0.15,1,0
"131","R_3q82qVxDplDNidE",0,"1/8 mile (2 minute walk)","No opinion","None of the units","6 stories","Open field","12 units","Rent",0,-0.15,1,0
"132","R_3q82qVxDplDNidE",0,"1/2 mile (10 minute walk)","Support the building","Half of the units","3 stories","Empty building","12 units","Own",0,-0.15,1,0
"133","R_3nUdz4YoJc4Vjoo",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","3 stories","Parking lot","24 units","Rent",1,0,1,0
"134","R_3nUdz4YoJc4Vjoo",0,"1 mile (20 minute walk)","Oppose the building","One-quarter of the units","12 stories","Open field","12 units","Own",1,0,1,0
"135","R_3nUdz4YoJc4Vjoo",0,"1 mile (20 minute walk)","Oppose the building","None of the units","12 stories","Historically-designated building","48 units","Own",1,0,1,0
"136","R_3nUdz4YoJc4Vjoo",1,"2 miles (40 minute walk)","Oppose the building","One-quarter of the units","6 stories","Historically-designated building","12 units","Own",1,0,1,0
"137","R_3nUdz4YoJc4Vjoo",0,"1/2 mile (10 minute walk)","Support the building","None of the units","2 stories","Parking lot","24 units","Rent",1,0,1,0
"138","R_3nUdz4YoJc4Vjoo",0,"2 miles (40 minute walk)","Oppose the building","Half of the units","6 stories","Historically-designated building","24 units","Own",1,0,1,0
"139","R_3nUdz4YoJc4Vjoo",1,"1/2 mile (10 minute walk)","Support the building","Half of the units","3 stories","Open field","12 units","Own",1,0,1,0
"140","R_3nUdz4YoJc4Vjoo",1,"2 miles (40 minute walk)","Oppose the building","One-quarter of the units","3 stories","Empty building","24 units","Own",1,0,1,0
"141","R_3nUdz4YoJc4Vjoo",1,"2 miles (40 minute walk)","Oppose the building","One-quarter of the units","3 stories","Parking lot","24 units","Own",1,0,1,0
"142","R_3nUdz4YoJc4Vjoo",1,"2 miles (40 minute walk)","No opinion","All of the units","3 stories","Empty building","24 units","Rent",1,0,1,0
"143","R_31H16UwLYCFY1H2",1,"1/8 mile (2 minute walk)","No opinion","All of the units","3 stories","Historically-designated building","24 units","Own",0,-0.15,1,1
"144","R_31H16UwLYCFY1H2",0,"2 miles (40 minute walk)","Support the building","None of the units","6 stories","Open field","12 units","Rent",0,-0.15,1,1
"145","R_31H16UwLYCFY1H2",0,"1/8 mile (2 minute walk)","Oppose the building","None of the units","6 stories","Empty building","48 units","Rent",0,-0.15,1,1
"146","R_31H16UwLYCFY1H2",1,"1/8 mile (2 minute walk)","Support the building","Half of the units","3 stories","Parking lot","24 units","Rent",0,-0.15,1,1
"147","R_31H16UwLYCFY1H2",0,"2 miles (40 minute walk)","Support the building","All of the units","12 stories","Parking lot","96 units","Rent",0,-0.15,1,1
"148","R_31H16UwLYCFY1H2",1,"1/2 mile (10 minute walk)","Support the building","Half of the units","3 stories","Empty building","96 units","Rent",0,-0.15,1,1
"149","R_31H16UwLYCFY1H2",0,"1 mile (20 minute walk)","No opinion","Half of the units","2 stories","Parking lot","24 units","Own",0,-0.15,1,1
"150","R_31H16UwLYCFY1H2",1,"1 mile (20 minute walk)","No opinion","All of the units","6 stories","Parking lot","48 units","Rent",0,-0.15,1,1
"151","R_31H16UwLYCFY1H2",0,"1/2 mile (10 minute walk)","Oppose the building","Half of the units","6 stories","Empty building","96 units","Rent",0,-0.15,1,1
"152","R_31H16UwLYCFY1H2",1,"2 miles (40 minute walk)","No opinion","One-quarter of the units","6 stories","Parking lot","12 units","Rent",0,-0.15,1,1
"153","R_27ya4Rzq5Z2fG7J",1,"2 miles (40 minute walk)","Oppose the building","Half of the units","6 stories","Open field","24 units","Rent",1,0.05,0,1
"154","R_27ya4Rzq5Z2fG7J",0,"1/8 mile (2 minute walk)","Support the building","Half of the units","3 stories","Open field","24 units","Own",1,0.05,0,1
"155","R_27ya4Rzq5Z2fG7J",0,"2 miles (40 minute walk)","No opinion","All of the units","2 stories","Parking lot","24 units","Rent",1,0.05,0,1
"156","R_27ya4Rzq5Z2fG7J",1,"2 miles (40 minute walk)","No opinion","None of the units","3 stories","Open field","24 units","Own",1,0.05,0,1
"157","R_27ya4Rzq5Z2fG7J",1,"1 mile (20 minute walk)","Oppose the building","None of the units","6 stories","Empty building","24 units","Own",1,0.05,0,1
"158","R_27ya4Rzq5Z2fG7J",0,"2 miles (40 minute walk)","No opinion","Half of the units","6 stories","Open field","48 units","Own",1,0.05,0,1
"159","R_27ya4Rzq5Z2fG7J",0,"1/8 mile (2 minute walk)","Support the building","All of the units","6 stories","Empty building","48 units","Own",1,0.05,0,1
"160","R_27ya4Rzq5Z2fG7J",0,"1/8 mile (2 minute walk)","No opinion","None of the units","3 stories","Empty building","48 units","Own",1,0.05,0,1
"161","R_27ya4Rzq5Z2fG7J",1,"2 miles (40 minute walk)","Oppose the building","None of the units","2 stories","Empty building","96 units","Rent",1,0.05,0,1
"162","R_27ya4Rzq5Z2fG7J",1,"1/2 mile (10 minute walk)","Oppose the building","One-quarter of the units","12 stories","Parking lot","48 units","Rent",1,0.05,0,1
"163","R_8B151HZxRnKwRk9",0,"1/8 mile (2 minute walk)","Oppose the building","One-quarter of the units","12 stories","Parking lot","24 units","Own",0,-0.1,1,1
"164","R_8B151HZxRnKwRk9",1,"2 miles (40 minute walk)","No opinion","None of the units","12 stories","Empty building","12 units","Own",0,-0.1,1,1
"165","R_8B151HZxRnKwRk9",1,"1 mile (20 minute walk)","Support the building","Half of the units","12 stories","Empty building","48 units","Own",0,-0.1,1,1
"166","R_8B151HZxRnKwRk9",0,"1 mile (20 minute walk)","Oppose the building","Half of the units","3 stories","Parking lot","12 units","Rent",0,-0.1,1,1
"167","R_8B151HZxRnKwRk9",1,"1/2 mile (10 minute walk)","No opinion","Half of the units","3 stories","Historically-designated building","12 units","Rent",0,-0.1,1,1
"168","R_8B151HZxRnKwRk9",1,"1 mile (20 minute walk)","Support the building","None of the units","3 stories","Empty building","96 units","Own",0,-0.1,1,1
"169","R_8B151HZxRnKwRk9",0,"2 miles (40 minute walk)","Support the building","None of the units","12 stories","Parking lot","12 units","Own",0,-0.1,1,1
"170","R_8B151HZxRnKwRk9",1,"1 mile (20 minute walk)","Support the building","Half of the units","3 stories","Parking lot","12 units","Rent",0,-0.1,1,1
"171","R_8B151HZxRnKwRk9",0,"2 miles (40 minute walk)","Support the building","None of the units","2 stories","Empty building","12 units","Rent",0,-0.1,1,1
"172","R_8B151HZxRnKwRk9",0,"2 miles (40 minute walk)","No opinion","None of the units","6 stories","Empty building","24 units","Own",0,-0.1,1,1
"173","R_1ohuBT2NAWc1ZMP",1,"1 mile (20 minute walk)","No opinion","One-quarter of the units","2 stories","Parking lot","24 units","Rent",0,-0.15,1,0
"174","R_1ohuBT2NAWc1ZMP",1,"2 miles (40 minute walk)","Oppose the building","One-quarter of the units","6 stories","Empty building","96 units","Own",0,-0.15,1,0
"175","R_1ohuBT2NAWc1ZMP",1,"1/8 mile (2 minute walk)","Support the building","All of the units","12 stories","Empty building","96 units","Own",0,-0.15,1,0
"176","R_1ohuBT2NAWc1ZMP",0,"1/8 mile (2 minute walk)","Oppose the building","One-quarter of the units","2 stories","Parking lot","96 units","Rent",0,-0.15,1,0
"177","R_1ohuBT2NAWc1ZMP",0,"1 mile (20 minute walk)","Support the building","None of the units","2 stories","Historically-designated building","48 units","Own",0,-0.15,1,0
"178","R_1ohuBT2NAWc1ZMP",0,"2 miles (40 minute walk)","Support the building","None of the units","6 stories","Parking lot","48 units","Rent",0,-0.15,1,0
"179","R_1ohuBT2NAWc1ZMP",0,"1/2 mile (10 minute walk)","Support the building","Half of the units","12 stories","Historically-designated building","48 units","Own",0,-0.15,1,0
