"","own","prop_a_dummy","prop_d_dummy","prop_f_dummy","prop_i_dummy","prop_i_ban_dummy","supply_dummy","rent_control","income_cat","ideology","whitenh"
"442",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"443",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"444",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"445",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"446",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"447",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"448",1,0,0,0,1,1,1,0,NA,7,0
"449",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"450",NA,0,0,0,0,0,NA,NA,NA,NA,NA
"451",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"452",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"453",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454",NA,1,NA,0,1,1,NA,NA,NA,NA,NA
"455",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"456",NA,1,1,1,0,1,NA,NA,NA,NA,NA
"457",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"458",0,1,1,0,0,0,1,1,5,6,1
"459",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"460",NA,1,1,0,0,NA,NA,NA,NA,NA,NA
"461",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"462",NA,1,0,1,0,1,NA,NA,NA,NA,NA
"463",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"464",NA,1,1,1,1,0,NA,NA,NA,NA,NA
"465",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"466",NA,0,1,1,1,1,NA,NA,NA,NA,NA
"467",NA,1,NA,1,1,1,NA,NA,NA,NA,NA
"468",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"469",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"470",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"471",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"472",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"473",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"474",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"475",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"478",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"479",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"480",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"481",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"482",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"483",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"484",0,1,1,0,0,0,1,0,5,6,1
"485",0,1,1,0,1,1,1,1,4,6,1
"486",NA,0,1,0,0,0,NA,NA,NA,NA,NA
"487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"489",NA,1,0,NA,1,1,NA,NA,NA,NA,NA
"490",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"491",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493",0,1,1,1,0,0,1,0,4,5,0
"494",0,1,1,0,0,0,1,1,4,6,1
"495",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"496",0,1,1,0,0,0,1,0,NA,6,1
"497",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"498",NA,1,1,0,0,NA,NA,NA,NA,NA,NA
"499",NA,1,NA,0,0,0,NA,NA,NA,NA,NA
"500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"502",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"503",0,1,0,1,1,1,1,0,2,6,1
"504",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"505",0,1,1,1,1,1,0,0,NA,7,0
"506",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"507",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"508",NA,1,0,0,1,1,NA,NA,NA,NA,NA
"509",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"510",0,1,1,1,1,1,1,1,6,7,1
"511",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"512",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"513",0,0,0,1,1,1,NA,0,NA,NA,0
"514",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"515",0,1,1,1,0,NA,1,1,2,6,1
"516",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"517",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"518",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"519",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"520",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"521",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"522",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"523",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"524",0,1,1,1,0,NA,1,0,NA,6,1
"525",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"526",NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
"527",NA,1,1,1,0,1,NA,NA,NA,NA,NA
"528",0,1,1,1,1,1,NA,0,4,6,1
"529",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"530",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"531",NA,1,1,1,0,NA,NA,NA,NA,NA,NA
"532",0,1,1,0,1,1,1,0,4,6,1
"533",NA,1,0,0,1,1,NA,NA,NA,NA,NA
"534",0,1,0,1,1,1,0,1,2,6,1
"535",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"536",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"537",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"540",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"541",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"542",NA,0,1,0,0,0,NA,NA,NA,NA,NA
"543",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"544",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"545",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"546",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"547",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"548",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"549",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"550",NA,0,1,0,0,0,NA,NA,NA,NA,NA
"551",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"552",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"553",0,1,1,1,1,1,0,1,NA,7,0
"554",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"555",NA,1,0,0,1,1,NA,NA,NA,NA,NA
"556",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"557",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"558",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"559",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"560",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"561",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"562",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"563",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"564",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"565",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"566",NA,1,NA,1,1,1,NA,NA,NA,NA,NA
"567",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
"568",NA,1,1,0,0,NA,NA,NA,NA,NA,NA
"569",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"570",NA,0,1,1,0,0,NA,NA,NA,NA,NA
"571",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"572",NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA
"573",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"574",0,1,1,0,0,0,1,1,4,6,1
"575",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"576",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"577",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"578",NA,1,1,0,0,NA,NA,NA,NA,NA,NA
"579",0,1,1,0,0,0,1,1,5,6,1
"580",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"581",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"582",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"583",0,1,1,1,0,0,1,0,2,7,1
"584",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"585",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"586",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"587",NA,0,1,1,1,1,NA,NA,NA,NA,NA
"588",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"589",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"590",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"591",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"592",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"593",NA,1,1,0,NA,NA,NA,NA,NA,NA,NA
"594",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"595",NA,1,0,0,1,1,NA,NA,NA,NA,NA
"596",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"597",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"598",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"599",0,1,1,0,0,0,1,1,5,6,1
"600",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"601",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"602",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"603",NA,0,1,1,0,0,NA,NA,NA,NA,NA
"604",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"605",0,1,1,0,0,0,1,1,2,6,0
"606",NA,1,0,1,0,0,NA,NA,NA,NA,NA
"607",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"608",NA,1,1,1,0,NA,NA,NA,NA,NA,NA
"609",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"610",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"611",NA,1,1,1,0,1,NA,NA,NA,NA,NA
"612",NA,0,0,0,1,NA,NA,NA,NA,NA,NA
"613",NA,1,1,NA,0,0,NA,NA,NA,NA,NA
"614",NA,0,1,1,1,1,NA,NA,NA,NA,NA
"615",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"616",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"617",NA,0,1,1,0,1,NA,NA,NA,NA,NA
"618",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"619",0,1,1,0,0,0,1,1,6,6,1
"620",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"621",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"622",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"623",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"624",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"625",NA,1,1,0,NA,0,NA,NA,NA,NA,NA
"626",NA,NA,1,0,0,0,NA,NA,NA,NA,NA
"627",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"628",NA,1,0,0,0,0,NA,NA,NA,NA,NA
"629",NA,1,1,0,0,1,NA,NA,NA,NA,NA
"630",NA,1,1,0,NA,NA,NA,NA,NA,NA,NA
"631",0,1,1,1,1,1,NA,0,1,7,0
"632",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"633",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"634",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"635",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"636",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"637",NA,1,1,1,0,NA,NA,NA,NA,NA,NA
"638",NA,1,0,1,0,0,NA,NA,NA,NA,NA
"639",NA,0,0,0,1,1,NA,NA,NA,NA,NA
"640",NA,0,0,1,0,0,NA,NA,NA,NA,NA
"641",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"642",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"643",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"644",NA,0,1,0,0,0,NA,NA,NA,NA,NA
"645",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"646",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"647",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"648",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"649",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"650",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"651",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"652",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"653",NA,0,1,1,1,1,NA,NA,NA,NA,NA
"654",NA,1,0,0,0,0,NA,NA,NA,NA,NA
"655",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"656",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"657",NA,1,0,0,0,0,NA,NA,NA,NA,NA
"658",NA,1,0,0,1,0,NA,NA,NA,NA,NA
"659",0,1,1,0,0,0,1,0,NA,7,1
"660",NA,1,1,0,0,1,NA,NA,NA,NA,NA
"661",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"662",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"663",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"664",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"666",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"667",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"668",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"670",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"672",NA,0,1,0,0,0,NA,NA,NA,NA,NA
"673",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"674",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"675",NA,1,0,0,0,1,NA,NA,NA,NA,NA
"676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"677",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"678",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680",NA,1,1,NA,1,NA,NA,NA,NA,NA,NA
"681",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"682",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"683",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"684",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"685",1,1,0,0,1,1,0,0,5,6,1
"686",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"687",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688",NA,NA,1,0,0,0,NA,NA,NA,NA,NA
"689",NA,1,NA,1,1,1,NA,NA,NA,NA,NA
"690",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"691",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"692",NA,1,NA,1,1,1,NA,NA,NA,NA,NA
"693",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"694",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"695",NA,1,1,1,0,NA,NA,NA,NA,NA,NA
"696",NA,1,1,0,1,NA,NA,NA,NA,NA,NA
"697",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"698",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"699",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"700",NA,0,0,0,1,1,NA,NA,NA,NA,NA
"701",NA,0,0,0,1,1,NA,NA,NA,NA,NA
"702",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"703",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"704",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"705",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"706",0,1,0,0,1,1,NA,0,2,7,1
"707",NA,1,1,0,0,NA,NA,NA,NA,NA,NA
"708",0,1,1,1,1,1,NA,1,NA,7,0
"709",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"710",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"711",NA,1,0,1,1,NA,NA,NA,NA,NA,NA
"712",NA,1,0,0,1,1,NA,NA,NA,NA,NA
"713",1,1,1,1,1,1,0,0,4,7,0
"714",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"715",NA,1,0,1,1,NA,NA,NA,NA,NA,NA
"716",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"717",NA,1,1,0,1,NA,NA,NA,NA,NA,NA
"718",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"719",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"720",NA,0,1,0,0,0,NA,NA,NA,NA,NA
"721",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"722",1,0,1,0,1,1,1,0,NA,NA,0
"723",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"724",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"725",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"726",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"727",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"728",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"729",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"730",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"731",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"732",NA,0,1,0,1,1,NA,NA,NA,NA,NA
"733",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"734",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"735",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"736",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"737",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"738",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"739",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"740",NA,1,1,NA,1,1,NA,NA,NA,NA,NA
"741",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"742",0,1,0,1,1,1,1,1,2,7,1
"743",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"744",NA,0,1,NA,1,NA,NA,NA,NA,NA,NA
"745",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"746",NA,1,0,0,1,1,NA,NA,NA,NA,NA
"747",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"748",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"749",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"750",NA,0,1,0,0,NA,NA,NA,NA,NA,NA
"751",NA,NA,0,0,1,1,NA,NA,NA,NA,NA
"752",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"753",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"754",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"755",NA,0,0,0,1,1,NA,NA,NA,NA,NA
"756",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"757",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"758",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"759",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"760",NA,1,1,0,1,NA,NA,NA,NA,NA,NA
"761",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"762",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"763",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"764",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"765",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"766",NA,0,0,0,0,1,NA,NA,NA,NA,NA
"767",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"768",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"769",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"770",NA,0,0,0,0,0,NA,NA,NA,NA,NA
"771",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"772",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"773",NA,1,NA,0,NA,0,NA,NA,NA,NA,NA
"774",NA,1,0,1,1,NA,NA,NA,NA,NA,NA
"775",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"776",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"777",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"778",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"779",NA,1,0,1,1,NA,NA,NA,NA,NA,NA
"780",NA,0,1,1,1,NA,NA,NA,NA,NA,NA
"781",NA,0,1,0,0,0,NA,NA,NA,NA,NA
"782",NA,1,0,0,1,0,NA,NA,NA,NA,NA
"783",NA,1,1,0,0,NA,NA,NA,NA,NA,NA
"784",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"785",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"786",NA,0,1,0,0,0,NA,NA,NA,NA,NA
"787",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"788",NA,NA,1,0,0,0,NA,NA,NA,NA,NA
"789",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"790",NA,0,0,1,1,NA,NA,NA,NA,NA,NA
"791",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"792",NA,0,0,0,NA,0,NA,NA,NA,NA,NA
"793",NA,1,0,0,0,0,NA,NA,NA,NA,NA
"794",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"795",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"796",NA,0,1,1,0,0,NA,NA,NA,NA,NA
"797",0,1,1,1,1,1,0,1,1,7,1
"798",NA,1,1,0,0,NA,NA,NA,NA,NA,NA
"799",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"800",0,1,1,1,1,1,0,0,4,5,1
"801",NA,1,0,0,0,1,NA,NA,NA,NA,NA
"802",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"803",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"804",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"805",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"806",1,1,1,0,1,NA,1,0,2,6,1
"807",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"808",0,1,1,1,1,0,1,1,4,6,1
"809",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"810",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"811",NA,0,0,1,0,NA,NA,NA,NA,NA,NA
"812",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"813",NA,NA,0,1,1,1,NA,NA,NA,NA,NA
"814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"815",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"816",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"817",NA,0,0,0,0,0,NA,NA,NA,NA,NA
"818",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"819",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"820",NA,0,0,0,0,0,NA,NA,NA,NA,NA
"821",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"822",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"823",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"824",NA,1,1,1,1,0,NA,NA,NA,NA,NA
"825",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"826",0,1,1,1,1,1,1,1,4,7,1
"827",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"828",0,1,0,1,1,1,1,1,4,7,1
"829",NA,NA,NA,1,0,0,NA,NA,NA,NA,NA
"830",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"831",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"832",NA,1,1,1,1,0,NA,NA,NA,NA,NA
"833",0,1,1,0,0,0,NA,0,2,6,1
"834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"835",NA,1,1,1,0,NA,NA,NA,NA,NA,NA
"836",0,1,0,1,1,NA,1,0,4,6,1
"837",0,0,1,0,0,0,1,0,NA,5,1
"838",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"839",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"840",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"841",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"842",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"843",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"844",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"845",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"846",0,1,1,1,0,0,1,1,NA,6,1
"847",NA,1,0,0,1,1,NA,NA,NA,NA,NA
"848",1,1,1,0,0,0,1,0,6,6,1
"849",NA,0,1,0,0,0,NA,NA,NA,NA,NA
"850",0,0,1,0,0,0,1,1,6,4,1
"851",NA,NA,0,1,1,1,NA,NA,NA,NA,NA
"852",NA,0,0,0,0,1,NA,NA,NA,NA,NA
"853",NA,0,0,1,0,NA,NA,NA,NA,NA,NA
"854",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"855",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"856",NA,0,1,0,0,0,NA,NA,NA,NA,NA
"857",NA,1,1,0,NA,0,NA,NA,NA,NA,NA
"858",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"859",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"861",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"862",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"863",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"864",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"865",NA,NA,1,0,0,0,NA,NA,NA,NA,NA
"866",NA,0,0,0,1,NA,NA,NA,NA,NA,NA
"867",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"868",NA,1,1,0,0,1,NA,NA,NA,NA,NA
"869",NA,0,0,1,1,NA,NA,NA,NA,NA,NA
"870",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"871",NA,0,0,0,1,NA,NA,NA,NA,NA,NA
"872",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"873",NA,0,0,0,0,0,NA,NA,NA,NA,NA
"874",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"875",NA,1,1,0,0,1,NA,NA,NA,NA,NA
"876",NA,0,0,1,1,1,NA,NA,NA,NA,NA
"877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"878",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"879",NA,1,1,0,0,0,NA,NA,NA,NA,NA
"880",NA,1,1,0,1,1,NA,NA,NA,NA,NA
"881",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"883",NA,1,1,1,1,1,NA,NA,NA,NA,NA
"884",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"885",NA,1,1,1,0,0,NA,NA,NA,NA,NA
"886",NA,1,1,1,NA,0,NA,NA,NA,NA,NA
"887",NA,1,0,1,1,1,NA,NA,NA,NA,NA
"888",NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"889",NA,1,0,0,0,NA,NA,NA,NA,NA,NA
"890",NA,1,0,1,1,1,NA,NA,NA,NA,NA
