"","ownership_dummy","version","prop_a_dummy","prop_d_dummy","prop_f_dummy","prop_i_dummy","ten_plan_dummy","prop_i_ban_dummy","ideology_num","income_num","white_dummy","age","gender_dummy"
"1181",1,5,0,1,0,1,1,1,4,4,0,56,1
"1182",1,5,1,1,0,1,1,1,4,4,1,59,1
"1183",1,5,1,1,0,0,0,0,4,4,1,76,1
"1184",1,6,1,1,1,0,1,NA,4,4,1,71,0
"1185",1,6,1,0,0,1,0,0,7,NA,0,66,NA
"1186",1,6,1,1,0,0,NA,NA,6,6,1,54,1
"1187",1,6,1,1,0,0,0,1,5,6,1,45,0
"1188",1,6,1,1,0,0,0,1,5,5,1,71,0
"1189",1,6,0,0,0,0,0,1,4,5,1,NA,NA
"1190",1,1,1,0,0,1,1,NA,5,5,1,43,0
"1191",1,1,1,1,0,1,1,NA,7,5,1,44,1
"1192",1,1,1,1,0,0,NA,0,5,6,1,42,0
"1193",1,1,0,0,1,NA,NA,NA,NA,NA,0,NA,1
"1194",1,1,NA,NA,NA,NA,NA,NA,7,4,1,46,0
"1195",1,2,0,0,1,1,1,1,6,4,1,60,0
"1196",1,3,0,1,0,0,NA,NA,3,6,1,49,1
"1197",1,3,1,1,0,0,NA,0,3,3,0,63,1
"1198",1,3,1,1,0,1,0,1,4,6,0,62,1
"1199",1,3,1,1,1,0,1,0,6,6,1,51,0
"1200",1,3,1,1,0,1,0,1,4,3,0,60,1
"1201",1,4,1,1,1,1,1,NA,4,5,0,45,0
"1202",1,4,1,0,1,1,0,1,6,5,1,46,1
"1203",1,4,1,1,0,0,0,0,5,5,1,70,1
"1204",1,4,0,0,1,1,0,NA,6,5,1,65,0
"1205",1,4,1,1,1,0,NA,0,4,4,1,52,0
"1206",1,4,1,1,0,1,1,1,4,4,0,55,0
"1207",1,5,1,1,0,NA,NA,NA,4,1,0,27,1
"1208",1,5,1,0,0,1,NA,1,6,NA,0,73,0
"1209",1,5,1,1,0,0,NA,0,5,6,1,43,0
"1210",1,5,0,1,0,0,0,0,4,4,0,NA,0
"1211",1,5,NA,NA,NA,NA,NA,NA,6,5,0,38,0
"1212",1,6,1,1,1,1,NA,NA,6,NA,1,52,1
"1213",1,6,1,1,1,1,1,1,6,5,1,56,1
"1214",1,6,1,0,0,0,0,0,5,2,0,52,0
"1215",1,6,1,1,0,0,1,0,6,5,0,31,0
"1216",1,6,1,1,1,0,1,0,5,5,1,44,0
"1217",1,3,NA,0,NA,1,0,1,3,4,1,51,0
"1218",0,1,0,0,0,1,0,NA,6,5,1,63,0
"1219",0,1,1,1,1,1,1,NA,6,4,1,49,0
"1220",0,2,NA,1,0,0,1,0,3,4,1,NA,1
"1221",0,2,0,1,0,0,NA,0,3,5,1,44,1
"1222",0,3,0,1,0,0,NA,0,NA,6,1,37,1
"1223",0,5,0,0,0,0,0,1,2,5,1,28,0
"1224",0,6,1,1,1,0,1,0,6,5,1,47,0
"1225",0,1,1,1,1,0,1,0,6,4,1,25,0
"1226",0,1,1,1,0,0,NA,0,5.5,5,1,38,0
"1227",0,1,1,0,0,1,NA,1,5,NA,1,61,0
"1228",0,1,1,1,0,0,1,0,6,1,1,48,1
"1229",0,1,0,1,0,0,NA,0,2,6,1,48,1
"1230",0,2,1,1,1,NA,1,0,6,4,1,33,1
"1231",0,2,1,0,0,0,1,NA,7,4,1,52,0
"1232",0,2,1,1,0,NA,NA,NA,NA,1,1,42,1
"1233",0,2,1,1,0,0,1,0,4,3,1,28,0
"1234",0,2,0,1,1,0,1,0,3,NA,1,77,0
"1235",0,2,1,0,1,1,1,1,7,1,1,72,1
"1236",0,3,NA,NA,0,NA,0,NA,3,5,1,32,0
"1237",0,3,1,1,1,1,0,1,6,2,1,NA,0
"1238",0,3,NA,NA,NA,NA,NA,NA,4,2,0,65,NA
"1239",0,3,1,1,1,1,0,1,7,2,1,25,0
"1240",0,3,1,1,1,1,0,NA,5,2,1,60,0
"1241",0,3,1,1,0,0,0,1,NA,2,1,64,1
"1242",0,3,1,0,1,1,0,1,4,2,0,57,1
"1243",0,3,1,1,1,1,0,NA,NA,5,0,38,1
"1244",0,4,NA,0,0,NA,0,NA,6,4,1,52,0
"1245",0,4,1,1,0,0,0,0,7,3,1,31,0
"1246",0,4,1,0,1,1,0,1,4,1,0,22,0
"1247",0,5,1,1,1,0,1,0,5,6,0,68,1
"1248",0,5,1,1,0,1,1,NA,6,4,1,25,0
"1249",0,5,1,1,1,1,1,1,7,6,1,42,1
"1250",0,5,1,0,0,1,0,0,4,3,0,49,1
"1251",0,5,1,1,0,1,NA,1,7,4,0,61,0
"1252",0,6,1,1,0,0,1,NA,4,3,1,28,1
"1253",0,6,0,1,1,1,NA,NA,4,6,1,36,1
"1254",0,6,1,0,0,0,NA,0,6,6,1,64,1
"1255",0,6,1,0,1,0,0,1,5,1,1,73,0
"1256",0,6,1,0,0,0,0,1,5,5,1,39,0
"1257",0,6,NA,NA,NA,NA,1,0,7,1,1,67,1
"1258",0,3,1,1,0,1,NA,1,NA,NA,0,NA,NA
"1259",0,1,1,1,0,0,0,0,5,5,1,29,1
"1260",0,1,1,0,1,1,1,1,7,4,1,44,0
"1261",0,1,1,1,0,0,1,0,6,5,0,33,1
"1262",0,1,1,1,0,0,NA,0,7,5,1,41,1
"1263",0,1,1,1,0,0,1,NA,5,5,1,27,0
"1264",0,1,1,1,1,1,1,1,4,3,1,69,1
"1265",0,1,1,1,0,0,1,0,3,4,1,79,1
"1266",0,2,1,1,0,1,1,0,3,4,1,35,0
"1267",0,2,1,1,0,1,1,1,6,3,1,25,1
"1268",0,2,1,1,0,0,1,0,6,5,1,32,1
"1269",0,2,1,1,1,1,1,1,7,NA,1,76,0
"1270",0,3,0,1,0,0,NA,0,3,6,1,42,1
"1271",0,3,1,1,0,0,0,0,5,4,0,29,1
"1272",0,3,1,1,1,0,1,0,5,5,1,30,1
"1273",0,3,1,0,0,1,0,1,4,2,1,61,1
"1274",0,3,1,1,0,0,0,0,7,NA,1,62,0
"1275",0,4,1,1,1,1,0,NA,5,5,1,40,0
"1276",0,4,1,1,1,1,NA,1,5,5,1,65,0
"1277",0,4,1,1,1,1,0,0,4,4,1,64,1
"1278",0,4,1,1,1,1,0,1,6,3,1,70,1
"1279",0,5,1,1,1,1,NA,NA,6,1,1,33,1
"1280",0,5,1,1,1,1,1,NA,6,2,1,30,0
"1281",0,5,0,1,1,0,1,0,4,4,0,27,0
"1282",0,5,0,1,0,0,NA,0,NA,NA,0,NA,NA
"1283",0,5,1,1,1,1,1,1,6,5,1,62,0
"1284",0,6,0,1,0,0,0,0,1,2,1,58,1
"1285",0,6,1,1,1,1,1,1,5,6,0,64,0
"1286",0,6,1,0,1,1,1,1,7,NA,0,NA,NA
"1287",0,6,1,1,1,1,1,1,6,3,1,72,1
"1288",0,6,1,1,1,NA,NA,NA,NA,NA,0,NA,NA
"1289",0,6,1,1,0,0,1,0,4,4,1,57,1
"1290",0,1,1,1,1,0,1,0,4,5,1,34,1
"1291",0,1,1,1,0,0,NA,NA,5,NA,1,NA,0
"1292",0,1,1,1,1,1,NA,NA,6,3,1,33,1
"1293",0,1,1,1,1,1,1,NA,6,NA,0,38,1
"1294",0,1,0,1,0,0,NA,0,3,6,0,49,1
"1295",0,1,1,1,1,0,NA,0,5,4,1,51,0
"1296",0,1,0,0,0,0,NA,0,5,5,1,50,1
"1297",0,1,1,1,0,0,NA,NA,6,4,1,77,0
"1298",0,1,1,1,1,0,1,1,4,4,0,47,0
"1299",0,1,0,1,0,0,NA,NA,2,5,1,NA,NA
"1300",0,1,NA,1,0,0,1,0,6,3,0,61,0
"1301",0,1,NA,NA,NA,NA,NA,NA,5,2,1,26,1
"1302",0,2,1,1,1,0,1,0,5,2,1,24,0
"1303",0,2,1,1,0,1,1,1,7,5,0,34,1
"1304",0,2,1,1,1,0,1,0,6,5,1,31,1
"1305",0,2,1,1,1,1,1,1,6,4,1,80,1
"1306",0,2,1,1,1,1,1,1,6,3,0,47,1
"1307",0,2,0,0,1,1,NA,1,6,2,1,71,0
"1308",0,2,1,1,1,1,1,1,7,5,1,51,1
"1309",0,2,1,1,1,1,1,NA,6,5,1,30,1
"1310",0,2,0,0,0,1,NA,NA,3,4,0,31,0
"1311",0,2,0,NA,0,0,NA,0,3,4,0,27,1
"1312",0,2,1,0,0,1,1,0,6,3,1,35,1
"1313",0,3,1,1,0,0,NA,0,6,5,1,32,1
"1314",0,3,1,1,0,0,0,0,5,6,1,39,1
"1315",0,3,1,0,1,1,0,1,4,4,1,NA,0
"1316",0,3,1,1,1,1,0,1,NA,NA,0,NA,1
"1317",0,3,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA
"1318",0,3,1,1,0,0,0,0,6,5,1,35,0
"1319",0,3,1,1,0,0,0,0,7,6,1,35,1
"1320",0,3,1,1,0,0,1,0,5,3,1,25,1
"1321",0,3,1,1,1,1,NA,1,6,5,1,30,0
"1322",0,3,1,1,0,1,0,1,4,NA,1,65,1
"1323",0,3,1,1,1,1,0,1,5.5,2,1,NA,1
"1324",0,3,1,1,0,0,1,0,4,2,1,53,1
"1325",0,4,1,1,1,1,0,1,4,2,1,30,1
"1326",0,4,1,1,0,0,NA,0,5,6,1,37,0
"1327",0,4,1,1,0,0,0,0,6.5,5,1,32,0
"1328",0,4,0,1,0,0,0,0,5,3,1,58,0
"1329",0,4,NA,NA,NA,NA,NA,NA,5,4,0,51,1
"1330",0,4,1,1,1,1,0,1,6,6,1,36,0
"1331",0,4,1,0,1,1,NA,NA,4.5,3,1,37,1
"1332",0,4,1,1,0,0,NA,NA,5,3,1,66,0
"1333",0,4,0,1,0,0,NA,0,5,6,1,34,0
"1334",0,4,1,1,0,0,0,NA,6,5,1,33,1
"1335",0,4,1,1,0,0,0,0,4,4,1,34,1
"1336",0,4,1,1,1,1,0,1,6,2,0,62,1
"1337",0,5,1,1,1,0,1,0,5,4,1,30,0
"1338",0,5,1,1,0,0,1,0,6,3,0,27,0
"1339",0,5,1,0,1,1,NA,1,6,4,1,47,1
"1340",0,5,1,1,1,1,1,1,6,2,1,34,0
"1341",0,5,1,1,1,1,1,1,5,3,1,60,1
"1342",0,5,1,1,0,1,1,1,6,6,1,39,0
"1343",0,5,1,1,1,NA,NA,NA,NA,NA,0,32,0
"1344",0,5,1,0,0,1,NA,1,6,5,0,48,0
"1345",0,5,1,1,1,1,1,1,6,2,1,50,1
"1346",0,5,1,1,1,1,NA,1,7,2,0,41,0
"1347",0,5,0,0,0,0,0,0,3,4,1,NA,1
"1348",0,5,1,NA,NA,1,NA,0,5.5,6,1,37,0
"1349",0,6,1,1,0,0,NA,0,6,5,1,32,0
"1350",0,6,1,0,0,0,NA,1,5,3,1,69,0
"1351",0,6,1,1,0,0,1,0,6,3,1,28,1
"1352",0,6,1,1,1,NA,NA,NA,7,6,1,46,0
"1353",0,6,1,0,1,1,NA,1,5,4,0,43,0
"1354",0,6,1,0,0,1,0,1,6,NA,0,61,0
"1355",0,6,1,1,1,0,NA,NA,7,5,1,47,0
"1356",0,6,0,1,0,0,NA,NA,4,5,1,44,0
"1357",0,6,1,1,1,1,NA,NA,4,2,1,47,NA
"1358",0,6,1,1,1,1,1,1,6,4,1,52,1
"1359",0,6,1,0,1,1,NA,1,NA,NA,0,NA,NA
"1360",0,1,1,1,1,1,1,1,6,2,1,20,1
"1361",0,1,1,1,1,1,NA,1,6,4,0,54,1
"1362",0,1,1,1,1,1,1,1,6,4,1,71,1
"1363",0,2,1,1,1,1,1,NA,6,2,1,36,1
"1364",0,2,0,0,1,1,1,1,5,1,0,NA,1
"1365",0,2,0,0,0,0,0,0,7,3,0,24,1
"1366",0,2,1,0,1,1,1,NA,7,4,1,40,0
"1367",0,2,0,0,1,0,0,1,7,1,1,64,0
"1368",0,3,1,1,1,1,0,1,7,2,1,33,1
"1369",0,3,1,1,1,1,0,NA,5,4,1,66,0
"1370",0,3,1,1,0,0,0,0,5,1,0,23,1
"1371",0,4,1,1,1,1,0,1,7,2,1,38,0
"1372",0,4,1,0,1,1,0,NA,7,4,0,58,0
"1373",0,4,1,1,1,1,0,1,7,2,1,33,1
"1374",0,5,NA,NA,NA,NA,NA,NA,5,1,0,25,1
"1375",0,5,1,1,1,1,1,1,7,2,1,25,0
"1376",0,5,1,1,1,1,0,1,6,4,0,52,NA
"1377",0,6,1,1,1,1,NA,1,7,2,0,43,0
"1378",0,6,1,1,1,1,1,NA,6,4,1,30,1
"1379",0,6,1,1,1,1,1,1,7,3,1,59,1
"1380",0,6,1,NA,1,1,NA,1,6,NA,1,19,0
"1381",0,1,1,1,1,1,1,1,6,2,1,24,0
"1382",0,1,NA,NA,NA,NA,NA,NA,4,2,1,78,0
"1383",0,1,1,1,1,1,1,1,5,4,1,39,1
"1384",0,2,1,0,0,1,1,1,5,2,1,25,1
"1385",0,2,1,NA,1,1,NA,NA,7,5,1,43,1
"1386",0,2,NA,NA,NA,NA,NA,NA,6,2,1,62,1
"1387",0,3,1,1,0,1,NA,0,7,2,1,30,1
"1388",0,3,0,0,1,1,0,1,6,NA,0,NA,NA
"1389",0,3,NA,NA,0,NA,0,NA,NA,1,1,73,0
"1390",0,3,1,1,0,0,0,NA,6,2,1,27,1
"1391",0,3,1,1,1,0,0,0,4,3,1,28,0
"1392",0,4,1,1,0,0,0,0,4,NA,0,NA,1
"1393",0,4,1,0,1,1,0,1,4,4,1,49,0
